case	state	r_value	mass_mode	custom_mass_min_GeV	custom_mass_max_GeV	mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
onshell_4b_r0p6	4b	0.6	baseline-plus-edges	15.67	1000.0	9.1360000000e+01	1.3170514908e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403077768e+00
onshell_4b_r0p6	4b	0.6	baseline-plus-edges	15.67	1000.0	1.2257000000e+02	2.6129084487e-25	9.2962877688e-27	1.0000000000e+00	1.9510358928e+00	7.1500087055e+01	3.8401725450e+00
onshell_4b_r0p6	4b	0.6	baseline-plus-edges	15.67	1000.0	1.7149000000e+02	2.6061694517e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402423597e+00
onshell_4b_r0p6	4b	0.6	baseline-plus-edges	15.67	1000.0	2.3007000000e+02	1.5774187055e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400365193e+00
onshell_4b_r0p6	4b	0.6	baseline-plus-edges	15.67	1000.0	3.2190000000e+02	9.4566851924e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400785267e+00
onshell_4b_r0p6	4b	0.6	baseline-plus-edges	15.67	1000.0	4.5038000000e+02	8.7655067651e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402204534e+00
onshell_4b_r0p6	4b	0.6	baseline-plus-edges	15.67	1000.0	6.0424000000e+02	1.1587901823e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400503523e+00
onshell_4b_r0p6	4b	0.6	baseline-plus-edges	15.67	1000.0	8.4541000000e+02	1.8451804921e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402171516e+00
onshell_4b_r0p6	4b	0.6	baseline-plus-edges	15.67	1000.0	1.0000000000e+03	2.4109908951e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400604674e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	1.4030000000e+01	3.3583571330e-26	9.6248249638e-27	1.0000000000e+00	1.9619957132e+00	6.5228450207e+01	3.8403694860e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	2.4700000000e+01	4.3671511198e-26	9.7924554521e-27	1.0000000000e+00	1.9022146548e+00	6.9156087064e+01	3.8402788823e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	3.5000000000e+01	3.7895945622e-26	2.2892025694e-27	1.0000000000e+00	1.9757340880e+00	7.1468470270e+01	3.8403153556e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	4.7470000000e+01	3.4911745763e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403077575e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	6.4380000000e+01	5.0398318029e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402292159e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	9.1200000000e+01	1.1742864745e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402911855e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	1.2370000000e+02	2.6948253493e-25	1.3128384700e-26	1.0000000000e+00	1.9318941631e+00	7.1468316809e+01	3.8402415804e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	1.6778000000e+02	3.2346957967e-25	3.1315440599e-27	1.0000000000e+00	1.9911491863e+00	7.1531583231e+01	3.8403192794e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	2.3769000000e+02	1.7769962734e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402177169e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	3.2238000000e+02	8.7388471563e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401892399e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	4.3725000000e+02	8.6784247851e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401296785e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	6.1945000000e+02	1.2027445851e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400545640e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	8.4017000000e+02	1.8254586826e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402494576e+00
onshell_4b_r0p7	4b	0.7	baseline-plus-edges	14.03	1000.0	1.0000000000e+03	2.4275716844e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400556605e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	1.2290000000e+01	1.0579352829e-25	2.9845137020e-26	1.0000000000e+00	1.9837455900e+00	6.6084632558e+01	3.8403743539e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	2.5200000000e+01	4.4204853655e-26	1.0574462582e-26	1.0000000000e+00	1.9012579440e+00	6.8488813883e+01	3.8403232781e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	3.4510000000e+01	4.3020932654e-26	5.6164180054e-27	1.0000000000e+00	1.9371291652e+00	7.1097900343e+01	3.8402279336e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	4.7250000000e+01	3.6457420799e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400902306e+00
