L_kpc	mDM_GeV	R_GV	flux
1	7	6.80762996e+00	0.00000000e+00
1	7	6.93005521e+00	0.00000000e+00
1	7	7.05468210e+00	0.00000000e+00
1	7	7.18155022e+00	0.00000000e+00
1	7	7.31069988e+00	0.00000000e+00
1	7	7.44217211e+00	0.00000000e+00
1	7	7.57600867e+00	0.00000000e+00
1	7	7.71225209e+00	0.00000000e+00
1	7	7.85094564e+00	0.00000000e+00
1	7	7.99213340e+00	0.00000000e+00
1	7	8.13586021e+00	0.00000000e+00
1	7	8.28217174e+00	0.00000000e+00
1	7	8.43111446e+00	0.00000000e+00
1	7	8.58273571e+00	0.00000000e+00
1	7	8.73708363e+00	0.00000000e+00
1	7	8.89420728e+00	0.00000000e+00
1	7	9.05415657e+00	0.00000000e+00
1	7	9.21698231e+00	0.00000000e+00
1	7	9.38273624e+00	0.00000000e+00
1	7	9.55147100e+00	0.00000000e+00
1	7	9.72324022e+00	0.00000000e+00
1	7	9.89809845e+00	0.00000000e+00
1	7	1.00761012e+01	0.00000000e+00
1	7	1.02573052e+01	0.00000000e+00
1	7	1.04417678e+01	0.00000000e+00
1	7	1.06295477e+01	0.00000000e+00
1	7	1.08207045e+01	0.00000000e+00
1	7	1.10152990e+01	0.00000000e+00
1	7	1.12133931e+01	0.00000000e+00
1	7	1.14150495e+01	0.00000000e+00
1	7	1.16203324e+01	0.00000000e+00
1	7	1.18293071e+01	0.00000000e+00
1	7	1.20420399e+01	0.00000000e+00
1	7	1.22585983e+01	0.00000000e+00
1	7	1.24790512e+01	0.00000000e+00
1	7	1.27034687e+01	0.00000000e+00
1	7	1.29319220e+01	0.00000000e+00
1	7	1.31644836e+01	0.00000000e+00
1	7	1.34012276e+01	0.00000000e+00
1	7	1.36422290e+01	0.00000000e+00
1	7	1.38875645e+01	0.00000000e+00
1	7	1.41373120e+01	0.00000000e+00
1	7	1.43915509e+01	0.00000000e+00
1	7	1.46503618e+01	0.00000000e+00
1	7	1.49138271e+01	0.00000000e+00
1	7	1.51820305e+01	0.00000000e+00
1	7	1.54550570e+01	0.00000000e+00
1	7	1.57329936e+01	0.00000000e+00
1	7	1.60159284e+01	0.00000000e+00
1	7	1.63039515e+01	0.00000000e+00
1	7	1.65971541e+01	0.00000000e+00
1	7	1.68956296e+01	0.00000000e+00
1	7	1.71994728e+01	0.00000000e+00
1	7	1.75087801e+01	0.00000000e+00
1	7	1.78236499e+01	0.00000000e+00
1	7	1.81441821e+01	0.00000000e+00
1	7	1.84704786e+01	0.00000000e+00
1	7	1.88026431e+01	0.00000000e+00
1	7	1.91407811e+01	0.00000000e+00
1	7	1.94850000e+01	0.00000000e+00
1	7	1.98354092e+01	0.00000000e+00
1	7	2.01921200e+01	0.00000000e+00
1	7	2.05552457e+01	0.00000000e+00
1	7	2.09249017e+01	0.00000000e+00
1	7	2.13012054e+01	0.00000000e+00
1	7	2.16842764e+01	0.00000000e+00
1	7	2.20742363e+01	0.00000000e+00
1	7	2.24712091e+01	0.00000000e+00
1	7	2.28753209e+01	0.00000000e+00
1	7	2.32867000e+01	0.00000000e+00
1	7	2.37054772e+01	0.00000000e+00
1	7	2.41317855e+01	0.00000000e+00
1	7	2.45657603e+01	0.00000000e+00
1	7	2.50075395e+01	0.00000000e+00
1	7	2.54572635e+01	0.00000000e+00
1	7	2.59150750e+01	0.00000000e+00
1	7	2.63811197e+01	0.00000000e+00
1	7	2.68555455e+01	0.00000000e+00
1	7	2.73385031e+01	0.00000000e+00
1	7	2.78301461e+01	0.00000000e+00
1	7	2.83306305e+01	0.00000000e+00
1	7	2.88401154e+01	0.00000000e+00
1	7	2.93587626e+01	0.00000000e+00
1	7	2.98867369e+01	0.00000000e+00
1	7	3.04242061e+01	0.00000000e+00
1	7	3.09713409e+01	0.00000000e+00
1	7	3.15283151e+01	0.00000000e+00
1	7	3.20953056e+01	0.00000000e+00
1	7	3.26724927e+01	0.00000000e+00
1	7	3.32600596e+01	0.00000000e+00
1	7	3.38581930e+01	0.00000000e+00
1	7	3.44670830e+01	0.00000000e+00
1	7	3.50869230e+01	0.00000000e+00
1	7	3.57179100e+01	0.00000000e+00
1	7	3.63602442e+01	0.00000000e+00
1	7	3.70141300e+01	0.00000000e+00
1	7	3.76797749e+01	0.00000000e+00
1	7	3.83573904e+01	0.00000000e+00
